year,country,title,rating,genre
2011,USA,Green Lantern,1,"Action, Adventure, Sci-Fi"
2011,USA,Hall Pass,2,"Comedy, Romance"
2011,"USA, UK, Germany",Hanna,3,"Action, Adventure, Thriller"
2011,"USA, UK",Harry Potter and the Deathly Hallows: Part 2,3,"Adventure, Fantasy, Mystery"
2011,"USA, Ireland",Haywire,0,"Action, Thriller"
2011,USA,Hesher,1,Drama
2011,USA,Higher Ground,3,Drama
2011,Canada,Hobo with a Shotgun,0,"Action, Comedy, Thriller"
2011,USA,Hop,2,"Animation, Comedy, Family"
2011,USA,Horrible Bosses,3,"Comedy, Crime"
2011,USA,Hugo,3,"Adventure, Drama, Family"
2011,USA,I Am Number Four,1,"Drama, Romance, Sci-Fi"
2011,USA,Immortals,2,"Action, Drama, Fantasy"
2011,USA,In Time,1,"Action, Sci-Fi, Thriller"
2011,"Finland, Sweden",Iris,3,"Drama, Family, History"
2011,"China, Hong Kong",Jin ling shi san chai,3,"Drama, History, War"
2011,"USA, France, UK",Johnny English Reborn,3,"Adventure, Comedy, Crime"
2011,USA,Jumping the Broom,3,"Comedy, Drama"
2011,USA,Just Go with It,3,"Comedy, Romance"
2011,UK,Kill List,3,"Crime, Horror, Thriller"
2011,"UK, Australia",Killer Elite,0,"Action, Crime, Thriller"
2011,USA,Kung Fu Panda 2,3,"Animation, Action, Adventure"
2011,"Finland, France, Germany",Le Havre,3,"Comedy, Drama"
2011,USA,Like Crazy,3,"Drama, Romance"
2011,USA,Limitless,1,"Mystery, Sci-Fi, Thriller"
2011,USA,Margaret,3,Drama
2011,USA,Margin Call,1,"Drama, Thriller"
2011,USA,Mars Needs Moms,3,"Animation, Action, Adventure"
2011,USA,Martha Marcy May Marlene,3,"Drama, Thriller"
2011,"Denmark, Sweden, France, Germany",Melancholia,3,"Drama, Sci-Fi"
2011,"Spain, USA",Midnight in Paris,3,"Comedy, Fantasy, Romance"
2011,"USA, United Arab Emirates, Czech Republic",Mission: Impossible - Ghost Protocol,1,"Action, Thriller"
2011,USA,Moneyball,1,"Biography, Drama, Sport"
2011,USA,Mr. Popper&#39;s Penguins,1,Comedy
